W_Fixing_incoming_lead,W_Filling_in application,W_Calling_after_offers,W_Assessing_application,W_Calling _missing_information,W_Check_for_fraud,case_id,event_nr,remaining_time
1.0,0.0,0.0,0.0,0.0,0.0,201608.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201580.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201571.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201559.0,1.0,1161671.0
1.0,1.0,0.0,0.0,0.0,0.0,201559.0,2.0,1160065.0
1.0,1.0,1.0,0.0,0.0,0.0,201559.0,3.0,1159793.0
1.0,1.0,2.0,0.0,0.0,0.0,201559.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201565.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201611.0,1.0,4315851.0
1.0,1.0,0.0,0.0,0.0,0.0,201611.0,2.0,4315644.0
1.0,1.0,1.0,0.0,0.0,0.0,201611.0,3.0,4315416.0
1.0,1.0,1.0,1.0,0.0,0.0,201611.0,4.0,3112865.0
1.0,1.0,1.0,1.0,1.0,0.0,201611.0,5.0,3109820.0
1.0,1.0,1.0,2.0,1.0,0.0,201611.0,6.0,1796156.0
1.0,1.0,1.0,2.0,2.0,0.0,201611.0,7.0,1793290.0
1.0,1.0,1.0,3.0,2.0,0.0,201611.0,8.0,681336.0
1.0,1.0,1.0,3.0,3.0,0.0,201611.0,9.0,681300.0
1.0,1.0,1.0,4.0,3.0,0.0,201611.0,10.0,68987.0
1.0,1.0,1.0,5.0,3.0,0.0,201611.0,11.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201562.0,1.0,2589273.0
1.0,1.0,0.0,0.0,0.0,0.0,201562.0,2.0,2583572.0
1.0,2.0,0.0,0.0,0.0,0.0,201562.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,201599.0,1.0,57.0
2.0,0.0,0.0,0.0,0.0,0.0,201599.0,2.0,0.0
