W_Fixing_incoming_lead,W_Filling_in application,W_Calling_after_offers,W_Assessing_application,W_Calling _missing_information,W_Check_for_fraud,case_id,event_nr,remaining_time,prediction
1.0,0.0,0.0,0.0,0.0,0.0,201608.0,1.0,0.0,861238.841204
0.0,1.0,0.0,0.0,0.0,0.0,201629.0,1.0,90876.0,974198.841204
0.0,2.0,0.0,0.0,0.0,0.0,201629.0,2.0,0.0,852982.841204
0.0,1.0,0.0,0.0,0.0,0.0,201644.0,1.0,1284786.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201644.0,2.0,685901.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201644.0,3.0,165586.0,434294.841204
0.0,1.0,1.0,2.0,0.0,0.0,201644.0,4.0,0.0,101238.841204
1.0,0.0,0.0,0.0,0.0,0.0,201674.0,1.0,1732041.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,201674.0,2.0,1726827.0,740022.841204
1.0,1.0,1.0,0.0,0.0,0.0,201674.0,3.0,1726769.0,533174.841204
1.0,1.0,2.0,0.0,0.0,0.0,201674.0,4.0,0.0,326390.841204
0.0,1.0,0.0,0.0,0.0,0.0,201710.0,1.0,1972023.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201710.0,2.0,1191979.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201710.0,3.0,925.0,434294.841204
0.0,1.0,1.0,2.0,0.0,0.0,201710.0,4.0,0.0,101238.841204
1.0,0.0,0.0,0.0,0.0,0.0,201779.0,1.0,2308875.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,201779.0,2.0,2306815.0,740022.841204
1.0,1.0,1.0,0.0,0.0,0.0,201779.0,3.0,2306566.0,533174.841204
1.0,1.0,1.0,1.0,0.0,0.0,201779.0,4.0,0.0,200182.841204
0.0,1.0,0.0,0.0,0.0,0.0,201770.0,1.0,2916828.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201770.0,2.0,2858202.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201770.0,3.0,252513.0,434294.841204
0.0,1.0,1.0,2.0,0.0,0.0,201770.0,4.0,0.0,101238.841204
0.0,1.0,0.0,0.0,0.0,0.0,201743.0,1.0,3677686.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201743.0,2.0,3676113.0,767350.841204
0.0,1.0,2.0,0.0,0.0,0.0,201743.0,3.0,0.0,560502.841204
1.0,0.0,0.0,0.0,0.0,0.0,201800.0,1.0,779815.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,201800.0,2.0,729662.0,740022.841204
1.0,1.0,1.0,0.0,0.0,0.0,201800.0,3.0,698023.0,533174.841204
1.0,1.0,2.0,0.0,0.0,0.0,201800.0,4.0,0.0,326390.841204
0.0,1.0,0.0,0.0,0.0,0.0,201686.0,1.0,1139516.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201686.0,2.0,499060.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201686.0,3.0,0.0,434294.841204
1.0,0.0,0.0,0.0,0.0,0.0,201836.0,1.0,1907198.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,201836.0,2.0,1905604.0,740022.841204
1.0,1.0,1.0,0.0,0.0,0.0,201836.0,3.0,1797180.0,533174.841204
1.0,1.0,1.0,1.0,0.0,0.0,201836.0,4.0,0.0,200182.841204
1.0,0.0,0.0,0.0,0.0,0.0,201891.0,1.0,3452022.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,201891.0,2.0,3446497.0,740022.841204
1.0,1.0,1.0,0.0,0.0,0.0,201891.0,3.0,2821623.0,533174.841204
1.0,1.0,2.0,0.0,0.0,0.0,201891.0,4.0,0.0,326390.841204
0.0,1.0,0.0,0.0,0.0,0.0,201824.0,1.0,2587134.0,974198.841204
0.0,2.0,0.0,0.0,0.0,0.0,201824.0,2.0,0.0,852982.841204
0.0,1.0,0.0,0.0,0.0,0.0,201906.0,1.0,1760.0,974198.841204
0.0,2.0,0.0,0.0,0.0,0.0,201906.0,2.0,0.0,852982.841204
0.0,1.0,0.0,0.0,0.0,0.0,201895.0,1.0,1383090.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201895.0,2.0,1382936.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201895.0,3.0,56764.0,434294.841204
0.0,1.0,1.0,1.0,1.0,0.0,201895.0,4.0,2665.0,556662.841204
0.0,1.0,1.0,2.0,1.0,0.0,201895.0,5.0,0.0,223734.841204
0.0,1.0,0.0,0.0,0.0,0.0,201888.0,1.0,1136011.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201888.0,2.0,1019143.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201888.0,3.0,0.0,434294.841204
0.0,1.0,0.0,0.0,0.0,0.0,201921.0,1.0,2670440.0,974198.841204
0.0,2.0,0.0,0.0,0.0,0.0,201921.0,2.0,0.0,852982.841204
0.0,1.0,0.0,0.0,0.0,0.0,201918.0,1.0,617909.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201918.0,2.0,186479.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,201918.0,3.0,32591.0,434294.841204
0.0,1.0,1.0,1.0,1.0,0.0,201918.0,4.0,17279.0,556662.841204
0.0,1.0,1.0,2.0,1.0,0.0,201918.0,5.0,0.0,223734.841204
0.0,1.0,0.0,0.0,0.0,0.0,201936.0,1.0,2667226.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201936.0,2.0,2667133.0,767350.841204
0.0,1.0,2.0,0.0,0.0,0.0,201936.0,3.0,0.0,560502.841204
0.0,1.0,0.0,0.0,0.0,0.0,201954.0,1.0,0.0,974198.841204
0.0,1.0,0.0,0.0,0.0,0.0,201975.0,1.0,0.0,974198.841204
0.0,1.0,0.0,0.0,0.0,0.0,202020.0,1.0,1663294.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,202020.0,2.0,1151187.0,767350.841204
0.0,1.0,1.0,1.0,0.0,0.0,202020.0,3.0,891979.0,434294.841204
0.0,1.0,1.0,1.0,1.0,0.0,202020.0,4.0,884834.0,556662.841204
0.0,1.0,1.0,1.0,2.0,0.0,202020.0,5.0,0.0,679158.841204
0.0,1.0,0.0,0.0,0.0,0.0,202026.0,1.0,2522847.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,202026.0,2.0,2522234.0,767350.841204
0.0,1.0,2.0,0.0,0.0,0.0,202026.0,3.0,0.0,560502.841204
0.0,1.0,0.0,0.0,0.0,0.0,202059.0,1.0,1296537.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,202059.0,2.0,871189.0,767350.841204
0.0,1.0,2.0,0.0,0.0,0.0,202059.0,3.0,0.0,560502.841204
1.0,0.0,0.0,0.0,0.0,0.0,202074.0,1.0,1802137.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,202074.0,2.0,1797437.0,740022.841204
1.0,1.0,1.0,0.0,0.0,0.0,202074.0,3.0,1795942.0,533174.841204
1.0,1.0,1.0,1.0,0.0,0.0,202074.0,4.0,0.0,200182.841204
1.0,0.0,0.0,0.0,0.0,0.0,202080.0,1.0,2643902.0,861238.841204
1.0,1.0,0.0,0.0,0.0,0.0,202080.0,2.0,2642538.0,740022.841204
1.0,2.0,0.0,0.0,0.0,0.0,202080.0,3.0,0.0,618806.841204
0.0,1.0,0.0,0.0,0.0,0.0,201930.0,1.0,641058.0,974198.841204
0.0,1.0,1.0,0.0,0.0,0.0,201930.0,2.0,624791.0,767350.841204
0.0,1.0,2.0,0.0,0.0,0.0,201930.0,3.0,0.0,560502.841204
1.0,0.0,0.0,0.0,0.0,0.0,202137.0,1.0,1027577.0,861238.841204
